id,title,category,audience,cost,urgency,verified,needsReview,hoursVerified,transit,description,location,mapQuery,hours,verifiedDate,phone,format,language,website,tags
1,Food Bank of Delaware,Food,Students; Families; Adults; Seniors,Free,Same Week,true,false,false,true,"Statewide food assistance organization connecting Delaware residents to food resources, programs, and partner distributions.","222 Lake Dr, Newark, DE 19702","222 Lake Dr, Newark, DE 19702",Program and partner hours vary,2026-06-21,(302) 292-1305,In-person,English,https://www.fbd.org,Food; Same Week; Hours not verified; Verified source
2,Delaware 211 Support Navigation,Student & Family Support,Students; Families; Adults; Seniors,Free,Same Week,true,false,false,false,"Statewide information and referral service for housing, food, family support, health, and community programs.",Phone and online support,,Service availability varies,2026-06-21,211,Phone/Online,English,https://www.delaware211.org,Student & Family Support; Same Week; Hours not verified; Verified source
3,Delaware Guidance Services for Children and Youth,Mental Health,Students; Families,Free,Same Week,true,false,false,false,"Behavioral health services for children, youth, and families in Delaware, including counseling and family support.","1213 Delaware Ave, Wilmington, DE 19806","1213 Delaware Ave, Wilmington, DE 19806",Mon-Fri 8am-5pm,2026-06-21,(302) 652-3948,In-person,English,https://www.dgs-de.org,Mental Health; Same Week; Hours not verified; Verified source
4,Appoquinimink Community Library,Learning Resources,Students; Families; Adults; Seniors,Free,Routine,true,false,false,true,"Public library with study space, Wi-Fi, public computers, youth programs, adult programs, and community meeting resources.","651 N Broad St, Middletown, DE 19709","651 N Broad St, Middletown, DE 19709",Hours vary by day,2026-06-21,(302) 378-5588,In-person,English,https://www.newcastlede.gov/288/Appoquinimink-Community-Library,Learning Resources; Routine; Hours not verified; Verified source
5,Brandywine Counseling & Community Services,Mental Health,Adults; Seniors,Sliding scale,Routine,true,false,true,true,"Outpatient substance use, mental health, prevention, and community support services for adults in Delaware.","2713 Lancaster Ave, Wilmington, DE 19805","2713 Lancaster Ave, Wilmington, DE 19805",Mon-Fri 8am-6pm,2026-06-21,(302) 656-2348,In-person,"English,Spanish",https://www.bccs-de.org,Mental Health; Routine; Hours verified; Verified source
6,Housing Alliance Delaware,Housing,Families; Adults; Seniors,Free,Same Week,true,false,false,false,"Housing stability, homelessness prevention, advocacy, data, and tenant-focused support connections in Delaware.","100 W 10th St, Wilmington, DE 19801","100 W 10th St, Wilmington, DE 19801",Mon-Fri 9am-5pm,2026-06-21,(302) 654-0126,In-person/Phone,English,https://www.housingalliancede.org,Housing; Same Week; Hours not verified; Verified source
7,First State Community Action Agency,Student & Family Support,Families; Adults,Free,Same Week,true,false,true,false,"Community action agency supporting low-income families with case management, food, housing, utility, and family stability programs.","308 N Railroad Ave, Georgetown, DE 19947","308 N Railroad Ave, Georgetown, DE 19947",Mon-Fri 8am-4:30pm,2026-06-21,(302) 856-7761,In-person,"English,Spanish",https://www.fscaa.org,Student & Family Support; Same Week; Hours verified; Verified source
8,YMCA of Delaware Teen Programs,Youth & Recreation,Students,Sliding scale,Routine,true,false,true,true,"Youth development, after-school activities, camps, sports, wellness, and leadership programming for Delaware students and families.","400 E Chestnut Hill Rd, Newark, DE 19713","400 E Chestnut Hill Rd, Newark, DE 19713",Hours vary by branch,2026-06-21,(302) 738-4116,In-person,English,https://www.ymcade.org,Youth & Recreation; Routine; Hours verified; Verified source
9,Delaware JobLink Career Center,Employment,Adults; Seniors,Free,Routine,true,false,true,true,"State job-search platform and career support system for job listings, resumes, training, and employer connections.","500 W Loockerman St, Dover, DE 19904","500 W Loockerman St, Dover, DE 19904",Mon-Fri 8am-4:30pm,2026-06-21,(302) 739-5473,In-person/Online,"English,Spanish",https://joblink.delaware.gov,Employment; Routine; Hours verified; Verified source
10,Legal Aid Society of Delaware,Legal Aid,Families; Adults; Seniors,Free,Same Week,true,false,false,false,"Free civil legal help for low-income Delawareans, including housing, public benefits, family law, and related civil matters.","100 W 10th St Ste 801, Wilmington, DE 19801","100 W 10th St Ste 801, Wilmington, DE 19801",Mon-Fri 9am-5pm,2026-06-21,(302) 575-0408,In-person/Phone,"English,Spanish",https://www.lasd.org,Legal Aid; Same Week; Hours not verified; Verified source
11,Connections Community Support Programs,Mental Health,Adults,Free,Same Week,true,false,false,true,"Community-based behavioral health, substance use recovery, and support services throughout Delaware.","3812 Lancaster Pike, Wilmington, DE 19805","3812 Lancaster Pike, Wilmington, DE 19805",Hours vary by program,2026-06-21,(302) 996-5050,In-person,English,https://www.connections-csp.org,Mental Health; Same Week; Hours not verified; Verified source
12,Delaware Health and Social Services SNAP,Food,Families; Adults; Seniors,Free,Routine,true,false,true,false,"Apply for SNAP food benefits, Medicaid, and other public benefits through Delaware Health and Social Services.","1901 N DuPont Hwy, New Castle, DE 19720","1901 N DuPont Hwy, New Castle, DE 19720",Mon-Fri 8am-4:30pm,2026-06-21,(302) 255-9500,In-person/Online,"English,Spanish",https://www.dhss.delaware.gov,Food; Routine; Hours verified; Verified source
13,Delaware LIHEAP Energy Assistance,Utilities & Housing,Families; Adults; Seniors,Free,Same Week,true,false,false,false,Low Income Home Energy Assistance Program information for eligible households needing help with heating and cooling costs.,Apply online or through DHSS offices,"1901 N DuPont Hwy, New Castle, DE 19720",Application periods vary,2026-06-21,(302) 734-6799,Online/Phone,English,https://www.dhss.delaware.gov/dhss/dss/liheap.html,Utilities & Housing; Same Week; Hours not verified; Verified source
14,Westside Family Healthcare,Health,Families; Adults; Seniors,Sliding scale,Routine,true,false,true,true,"Community health center offering primary care, dental, behavioral health, women's health, and pharmacy services.","1802 W 4th St, Wilmington, DE 19805","1802 W 4th St, Wilmington, DE 19805",Mon-Fri 8am-5pm,2026-06-21,(302) 655-7118,In-person,"English,Spanish",https://www.westsidehealth.org,Health; Routine; Hours verified; Verified source
